elapsed_s,latency_s,msg_count,version
43,11.044315969622112,261772,Flink 1.16
44,10.586818610748237,258571,Flink 1.16
45,9.569467816117808,262212,Flink 1.16
46,9.152946236971815,260402,Flink 1.16
47,11.767844018495808,254543,Flink 1.16
48,10.128060627751339,185806,Flink 1.16
49,10.580632741163512,223303,Flink 1.16
50,9.508844740524761,270122,Flink 1.16
51,8.714663412881418,289304,Flink 1.16
52,11.166784849124104,308035,Flink 1.16
53,10.76448268089976,186788,Flink 1.16
54,10.652202851477526,192111,Flink 1.16
55,10.347790840230719,184830,Flink 1.16
56,9.082768395533266,204180,Flink 1.16
57,12.245952304040928,203078,Flink 1.16
58,10.46090237298414,223811,Flink 1.16
59,10.532569935971983,263012,Flink 1.16
60,9.539739766427616,237014,Flink 1.16
61,9.241546193954399,244913,Flink 1.16
62,10.09515301913658,256994,Flink 1.16
63,11.055451225061665,246110,Flink 1.16
64,10.591621361647245,220292,Flink 1.16
65,9.583539716095586,212395,Flink 1.16
66,8.579150481941745,230526,Flink 1.16
67,10.83561400303694,252888,Flink 1.16
68,9.976642024294735,299660,Flink 1.16
69,10.69306299937561,266082,Flink 1.16
70,11.622695251638488,213084,Flink 1.16
71,9.423733587726694,220917,Flink 1.16
72,12.471227943455684,212794,Flink 1.16
73,13.44275096618705,206482,Flink 1.16
74,12.4312949620045,241743,Flink 1.16
75,11.462969852693082,217167,Flink 1.16
76,11.375259225845841,259380,Flink 1.16
77,10.502885666405462,268530,Flink 1.16
78,11.502578488105693,229315,Flink 1.16
79,10.58915454807795,252931,Flink 1.16
80,9.552594846525308,208015,Flink 1.16
81,8.749865439398778,208159,Flink 1.16
82,9.933062238016497,283653,Flink 1.16
83,11.162710535321853,283399,Flink 1.16
84,10.62993742997804,297235,Flink 1.16
85,9.943755746895981,238433,Flink 1.16
86,9.00476090450377,205947,Flink 1.16
87,12.428035123607643,166697,Flink 1.16
88,10.536760157671203,224264,Flink 1.16
89,10.546586985961534,268049,Flink 1.16
90,9.638787847455498,249528,Flink 1.16
91,9.889389390783883,242525,Flink 1.16
92,9.9808616873297,250194,Flink 1.16
93,11.348487198008794,245040,Flink 1.16
